file1 file2 flip heuristic runtime closed open
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_11_5.csv 21 21 1 21 830
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_12_5.csv 13 13 1 13 482
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_1_5.csv 23 21 3837 39099 983644
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_2_5.csv 23 22 4685 49923 1182162
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_3_5.csv 18 17 282 4035 100340
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_4_5.csv 25 23 39865 348579 8006257
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_5_5.csv 17 17 1 17 620
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_6_5.csv 20 19 2399 27651 684386
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_7_5.csv 15 15 1 15 526
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_8_5.csv 20 19 588 7684 199933
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_9_5.csv 21 20 2604 28803 734976
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_10_5.csv 20 20 1 20 749
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_11_5.csv 24 22 7428 74499 1973918
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_12_5.csv 18 17 310 4227 109728
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_1_5.csv 22 21 1197 14404 369646
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_2_5.csv 19 18 527 6723 185399
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_3_5.csv 22 21 2027 23043 614690
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_4_5.csv 15 15 1 15 551
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_5_5.csv 14 14 1 14 510
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_6_5.csv 20 19 735 9603 244082
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_7_5.csv 15 15 1 15 530
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_8_5.csv 23 23 1 23 827
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_9_5.csv 17 17 1 17 589
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2002_10_5.csv 22 20 5244 55731 1414323
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2002_11_5.csv 21 20 1772 20484 542854
