file1 file2 flip heuristic runtime closed open
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_11_5.csv 21 21 0 21 830
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_12_5.csv 13 13 0 13 482
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_1_5.csv 23 21 1964 43311 1076227
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_2_5.csv 23 22 2234 49923 1182162
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_3_5.csv 18 17 106 4035 100340
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_4_5.csv 25 23 20834 348579 8006257
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_5_5.csv 17 17 0 17 620
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_6_5.csv 20 19 1101 27651 684386
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_7_5.csv 15 15 0 15 526
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_8_5.csv 20 19 245 7684 199933
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_9_5.csv 21 20 1262 28803 734976
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_10_5.csv 20 20 0 20 749
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_11_5.csv 24 22 3644 74499 1973918
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_12_5.csv 18 17 117 4227 109728
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_1_5.csv 22 21 544 14404 369646
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_2_5.csv 19 18 219 6723 185399
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_3_5.csv 22 21 957 23043 614690
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2001_4_5.csv 15 15 0 15 551
