file1 file2 simple eppstein hanke 
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_11_25.csv 17 18 18
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_12_25.csv 34 44 44
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_1_25.csv 31 35 40
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_2_25.csv 33 34 37
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_3_25.csv 36 43 49
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_4_25.csv 31 36 37
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_5_25.csv 33 38 39
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_6_25.csv 31 33 34
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_7_25.csv 34 39 40
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_8_25.csv 34 38 39
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_9_25.csv 34 37 41
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_10_25.csv 27 31 31
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_11_25.csv 25 28 30
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_12_25.csv 30 31 31
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_1_25.csv 35 37 40
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_2_25.csv 35 38 43
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_3_25.csv 32 36 38
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_4_25.csv 32 34 37
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_5_25.csv 31 38 42
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_6_25.csv 34 37 37
../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_25/s_25_25/triangulation/t_2001_7_25.csv 35 41 44
