file1 file2 flip heuristic runtime closed open
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_11_2.csv 7 7 0 7 273
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_12_2.csv 6 6 0 6 237
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_1_2.csv 8 8 0 8 299
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_2_2.csv 8 8 0 8 299
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_3_2.csv 6 6 0 6 224
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_4_2.csv 11 11 0 11 426
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_5_2.csv 10 10 0 10 380
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_6_2.csv 12 12 0 12 480
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_7_2.csv 5 5 0 5 187
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_8_2.csv 8 8 0 8 302
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_9_2.csv 12 12 0 12 463
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2001_10_2.csv 10 10 0 10 405
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2001_11_2.csv 8 8 0 8 309
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2001_12_2.csv 10 10 0 10 390
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2001_1_2.csv 10 10 0 10 375
../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2000_10_2.csv ../data/sealevel_experiments_paper/s_30/s_30_2/triangulation/t_2001_2_2.csv 6 6 0 6 233
