file1 file2 simple eppstein hanke 
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_11_25.csv 30 31 31
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_12_25.csv 35 40 40
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_1_25.csv 38 44 48
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_2_25.csv 39 44 50
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_3_25.csv 35 44 50
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_4_25.csv 38 45 48
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_5_25.csv 40 49 51
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_6_25.csv 41 46 50
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_7_25.csv 39 46 48
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_8_25.csv 39 40 42
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_9_25.csv 31 37 39
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_10_25.csv 36 41 41
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_11_25.csv 39 47 48
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_12_25.csv 45 52 52
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_1_25.csv 41 50 53
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_2_25.csv 35 38 42
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_3_25.csv 38 41 47
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_4_25.csv 40 45 47
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_5_25.csv 40 53 57
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_6_25.csv 44 57 57
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_7_25.csv 41 52 53
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_8_25.csv 42 52 53
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2001_9_25.csv 46 51 53
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_10_25.csv 40 48 52
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_11_25.csv 32 38 39
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_12_25.csv 42 49 51
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_1_25.csv 42 52 54
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_2_25.csv 37 44 46
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_3_25.csv 40 46 48
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_4_25.csv 38 44 44
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_5_25.csv 41 47 50
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_6_25.csv 42 48 51
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_7_25.csv 38 41 46
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_8_25.csv 40 49 49
../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2000_10_25.csv ../data/sealevel_experiments_paper/s_30/s_30_30/triangulation/t_2002_9_25.csv 31 36 36
