file1 file2 simple eppstein hanke 
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_11_5.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_12_5.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_1_5.csv 13 13 13
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_2_5.csv 13 13 13
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_3_5.csv 16 16 16
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_4_5.csv 16 16 16
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_5_5.csv 10 10 10
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_6_5.csv 14 15 15
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_7_5.csv 12 12 12
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_8_5.csv 18 18 18
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_9_5.csv 13 14 14
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_10_5.csv 14 15 15
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_11_5.csv 11 12 12
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_12_5.csv 7 7 7
