file1 file2 flip runtime closed open 
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 -1 180000 15721444 37265766
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 16 20936 2023224 5987008
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 -1 180000 15008207 35769559
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 20 130868 11741413 29003626
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 15 10115 1123667 3473226
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 -1 180000 15219964 36592982
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 -1 180000 15062484 36409825
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 19 90562 7913956 19689540
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 19 105552 9345151 23442094
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 16 17797 1888252 5607526
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 -1 180000 15538839 37633068
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 -1 180000 16054533 36599463
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 -1 180000 15495588 34287187
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 -1 180000 15437984 36581049
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 -1 180000 15893392 34177271
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 20 130990 11572631 27812743
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 -1 180000 15661214 34523783
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 -1 180000 16134107 35815753
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 -1 180000 15361713 33662441
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 -1 180000 15680884 35874393
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 -1 180000 15731144 35403534
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 -1 180000 16301228 36293498
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 -1 180000 16042534 36688686
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 -1 180000 15513301 34422208
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 -1 180000 15978380 36564909
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 -1 180000 15706587 35131909
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 19 71920 6671063 16643187
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 -1 180000 16185736 35650767
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 19 77658 7411715 18887447
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 -1 180000 16082801 34797646
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 -1 180000 16123009 37758850
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 -1 180000 15703767 34650831
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 22 158243 14228519 31804906
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 -1 180000 16298523 35837711
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 -1 180000 16634192 37656793
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 15 7097 846391 2521274
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 -1 180000 16189149 35902245
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 -1 180000 16645799 37542077
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 -1 180000 15424770 34349610
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 -1 180000 16670695 37641427
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 17 19173 1989984 5322521
../data/random_experiments_paper/n_20/set_0/triangulation/t_12 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 -1 180000 14915009 34253821
../data/random_experiments_paper/n_20/set_0/triangulation/t_13 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 -1 180000 15856394 36972907
../data/random_experiments_paper/n_20/set_0/triangulation/t_13 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 18 9716 1038582 2648462
../data/random_experiments_paper/n_20/set_0/triangulation/t_13 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 -1 180000 15493851 35957769
../data/random_experiments_paper/n_20/set_0/triangulation/t_13 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 23 162460 15770693 33515530
../data/random_experiments_paper/n_20/set_0/triangulation/t_13 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 -1 180000 17614632 37478959
../data/random_experiments_paper/n_20/set_0/triangulation/t_13 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 -1 180000 17598629 36792124
../data/random_experiments_paper/n_20/set_0/triangulation/t_13 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 17 13036 1469587 4016712
../data/random_experiments_paper/n_20/set_0/triangulation/t_13 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 18 25371 2732608 7000560
